trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
357,False,"{'a': 0.2, 'e': 0.028438824714184505}",20,0,25.764790666701483,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
358,False,"{'a': 0.2, 'e': 0.028155853680300096}",25,13,-18.36912454165458,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
359,False,"{'a': 0.2, 'e': 0.027875698255247015}",20,2,-14.135182386701775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
360,False,"{'a': 0.2, 'e': 0.027598330423249287}",20,0,21.113069300040994,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
361,False,"{'a': 0.2, 'e': 0.02732372244729256}",35,24,15.037484806403459,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.2, 'e': 0.027051846866350416}",25,12,27.629028785657145,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.2, 'e': 0.026782676492638175}",25,11,29.396413164085196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.2, 'e': 0.02651618440889418}",20,0,32.21573359046831,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
365,False,"{'a': 0.2, 'e': 0.02625234396568796}",25,5,27.456991239107825,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.2, 'e': 0.025991128778755347}",20,12,-26.630771242819478,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
367,False,"{'a': 0.2, 'e': 0.02573251272635994}",20,13,17.44436169300644,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.2, 'e': 0.025476469946681016}",20,16,7.458288170500113,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.2, 'e': 0.025222974835227212}",20,11,19.154631740961026,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.2, 'e': 0.024972002042276155}",20,2,19.15585407465721,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.2, 'e': 0.024723526470339388}",20,11,14.550692800886262,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.2, 'e': 0.02447752327165267}",30,7,17.61394310013247,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
373,False,"{'a': 0.2, 'e': 0.024233967845691113}",30,9,-3.3958203453358924,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
374,False,"{'a': 0.2, 'e': 0.023992835836709175}",30,19,21.690518905699992,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.2, 'e': 0.023754103131304997}",20,16,7.67040395773345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.2, 'e': 0.023517745856009107}",20,16,7.9286164862232535,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.2, 'e': 0.023283740374897}",25,20,9.260731863048605,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.2, 'e': 0.02305206328722557}",30,12,32.034596000243255,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.2, 'e': 0.02282269142509297}",20,3,-14.255331036236685,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
380,False,"{'a': 0.2, 'e': 0.022595601851121864}",25,15,18.340209411945327,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.2, 'e': 0.02237077185616559}",30,19,21.28748600483564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.2, 'e': 0.022148178957037315}",30,10,33.350880286704275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.2, 'e': 0.02192780089426161}",30,20,19.884325093304493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.2, 'e': 0.02170961562984857}",30,17,25.67837461320979,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.2, 'e': 0.021493601345089923}",20,16,8.519073163130809,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.2, 'e': 0.02127973643837717}",25,14,10.355612353146238,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
