trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,0,-45.7481902415711,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,5,-6.604619774726602,"{0: 10, 1: 5, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,20,6.564250998849115,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,5,-119.68235774761749,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,19,-42.36589774043625,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-48.297369469716884,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-75.95494635254607,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,13,-0.10125844725004218,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,0,-48.87305548263963,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,17,23.054399492523107,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",35,0,-44.810493538618296,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",35,0,9.284975241439891,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,-23.12086572655852,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,-79.33810974507006,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,0,2.130436044702553,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,0,-15.950777405335076,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,0,-24.520538935110817,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,10,18.82029948738954,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,11,-11.772595684971163,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,12,10.443925950597462,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
